Prime Bit Length,Average Factorization Time (seconds),Median Factorization Time (seconds)
8,5.5600015912204984e-06,4.250032361596823e-06
10,4.0965015068650244e-05,2.4650071281939745e-05
12,0.0001714550075121224,8.650001836940646e-05
14,0.0005389049998484552,0.0004037999897263944
16,0.0009730900172144174,0.0009012000518850982
